accuracy,acc_std,recall_p,r_p_std,precision_p,p_p_std,f1_p,f1_p_std,recall_n,r_n_std,precision_n,p_n_std,f1_n,f1_n_std,tp,tn,fp,fn,c1,c2,gamma
76.31,4.54,64.87,9.06,66.75,1.78,65.46,4.51,82.84,2.68,80.98,6.66,81.81,4.29,171,415,85,97,0.0625,0.0625,0.03125
76.05,4.75,64.19,9.07,66.50,1.91,65.00,4.60,82.84,2.70,80.65,6.80,81.64,4.46,169,415,85,99,0.0625,0.0625,0.0625
75.14,5.06,68.34,8.00,63.91,3.11,65.71,3.32,78.85,6.15,81.75,6.43,80.16,5.49,181,396,104,87,0.0625,0.0625,0.125
75.66,4.50,56.33,6.05,68.64,0.75,61.69,3.63,86.26,2.10,78.30,5.97,82.01,4.05,149,432,68,119,0.0625,0.0625,0.25
77.87,3.86,56.56,8.24,74.93,5.58,63.85,3.88,89.77,3.15,79.04,5.93,83.93,3.50,149,449,51,119,0.0625,0.0625,0.5
76.83,3.19,55.76,4.17,71.86,5.72,62.50,2.31,88.39,2.25,78.58,5.14,83.11,3.10,148,442,58,120,0.0625,0.0625,1
72.54,3.54,47.44,4.62,64.13,5.21,54.40,4.29,85.91,2.25,75.20,4.81,80.14,3.37,127,430,70,141,0.0625,0.0625,2
69.54,5.70,44.41,9.31,57.98,6.89,49.89,8.20,83.35,2.15,73.55,7.01,77.99,4.55,117,417,83,151,0.0625,0.0625,4
75.92,4.47,66.60,7.46,65.47,2.89,65.77,3.48,81.21,3.62,81.39,6.32,81.23,4.54,176,407,93,92,0.0625,0.125,0.03125
75.79,4.47,65.55,7.85,65.54,3.09,65.26,3.77,81.64,3.23,81.01,6.45,81.25,4.43,173,409,91,95,0.0625,0.125,0.0625
75.01,5.20,69.94,7.69,63.28,3.30,66.13,3.11,77.86,6.25,82.20,6.67,79.87,5.76,185,391,109,83,0.0625,0.125,0.125
76.05,5.06,64.96,7.99,66.71,5.18,65.38,3.56,82.43,4.99,80.83,6.87,81.51,5.09,171,413,87,97,0.0625,0.125,0.25
76.83,3.78,65.31,7.23,67.85,3.68,66.13,2.43,83.22,4.59,81.32,5.69,82.15,4.16,173,417,83,95,0.0625,0.125,0.5
75.92,3.41,62.54,4.64,66.73,5.45,64.26,2.47,83.34,3.25,80.24,5.40,81.68,3.61,166,417,83,102,0.0625,0.125,1
72.14,2.35,50.81,3.40,62.56,6.86,55.70,2.40,83.89,2.14,75.91,4.98,79.58,2.44,135,419,81,133,0.0625,0.125,2
71.23,4.80,53.42,6.18,59.82,7.08,56.18,5.55,80.92,3.52,76.22,6.21,78.40,4.41,142,405,95,126,0.0625,0.125,4
76.05,3.99,69.74,7.86,64.73,1.29,66.89,3.05,79.85,2.06,82.50,6.29,81.09,3.95,184,400,100,84,0.0625,0.25,0.03125
75.92,4.00,67.79,4.90,64.93,1.35,66.24,2.30,80.36,3.23,81.82,5.36,81.06,4.19,180,403,97,88,0.0625,0.25,0.0625
75.79,4.29,73.34,6.80,63.37,0.94,67.83,2.81,77.04,5.24,83.87,5.59,80.25,4.92,195,387,113,73,0.0625,0.25,0.125
74.36,3.74,73.70,7.73,61.16,1.82,66.56,2.05,74.97,4.20,83.55,6.17,78.95,4.41,195,376,124,73,0.0625,0.25,0.25
74.22,3.29,71.29,5.74,61.72,6.10,65.67,1.60,76.13,5.50,82.70,5.55,79.13,4.15,189,381,119,79,0.0625,0.25,0.5
73.58,3.77,66.54,6.17,61.57,5.22,63.53,2.19,77.72,4.47,80.76,6.15,79.09,4.22,176,389,111,92,0.0625,0.25,1
71.62,1.54,56.46,3.89,60.14,7.82,57.75,3.60,79.89,4.06,77.31,4.13,78.44,2.23,151,399,101,117,0.0625,0.25,2
71.36,4.38,61.42,6.93,59.30,7.06,59.70,3.09,77.17,5.59,78.44,6.66,77.61,4.59,162,386,114,106,0.0625,0.25,4
75.40,3.49,76.12,6.12,62.23,3.25,68.21,1.34,75.18,4.84,84.86,5.43,79.65,4.42,202,377,123,66,0.0625,0.5,0.03125
75.14,3.72,75.11,7.13,62.11,3.26,67.67,1.90,75.38,4.99,84.36,5.89,79.52,4.56,199,378,122,69,0.0625,0.5,0.0625
73.84,4.55,83.10,4.64,59.03,1.51,68.94,1.46,68.45,7.83,87.83,4.57,76.78,6.26,222,345,155,46,0.0625,0.5,0.125
72.53,2.88,84.39,4.57,57.12,4.10,67.94,2.78,66.18,4.75,88.27,4.76,75.58,4.39,225,332,168,43,0.0625,0.5,0.25
73.45,2.88,82.78,6.39,58.46,4.90,68.21,3.25,68.71,4.06,87.63,5.42,76.93,3.75,220,344,156,48,0.0625,0.5,0.5
72.27,3.44,71.32,3.21,58.25,6.27,63.96,4.51,72.67,4.48,82.31,4.69,77.14,4.16,191,364,136,77,0.0625,0.5,1
70.71,2.43,65.38,6.76,57.03,4.60,60.51,2.86,74.03,0.89,79.63,6.14,76.60,2.67,173,370,130,95,0.0625,0.5,2
69.79,3.46,64.60,6.74,55.94,5.87,59.53,3.88,73.03,3.12,79.03,6.40,75.77,3.54,171,365,135,97,0.0625,0.5,4
73.05,3.19,81.94,4.39,58.03,3.87,67.76,2.32,68.38,4.39,86.94,5.18,76.52,4.50,218,343,157,50,0.0625,1,0.03125
72.53,3.83,81.27,4.81,57.57,3.81,67.21,2.39,67.94,5.24,86.37,5.75,76.01,5.25,216,341,159,52,0.0625,1,0.0625
69.27,2.13,89.15,5.89,53.36,3.37,66.60,2.85,58.22,6.56,91.21,4.69,70.76,4.77,239,293,207,29,0.0625,1,0.125
67.84,3.02,91.80,4.42,52.26,6.37,66.21,4.91,55.31,4.41,92.44,3.86,69.02,2.79,245,276,224,23,0.0625,1,0.25
68.49,1.35,85.84,7.08,53.09,5.16,65.13,2.81,59.62,4.58,88.33,5.58,70.95,2.76,228,298,202,40,0.0625,1,0.5
69.66,3.76,77.20,6.25,54.67,6.21,63.64,4.79,66.04,3.37,83.96,6.61,73.82,3.86,205,330,170,63,0.0625,1,1
